Channel Title,Channel Username,ID,Message,Date,Media Path
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1247,,2025-01-22 09:50:47+00:00,photos_Yetenaweg/@Yetenaweg_1247.jpg
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1246,,2025-01-22 09:50:46+00:00,photos_Yetenaweg/@Yetenaweg_1246.jpg
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1245,"🎗 ጥር የማህፀን በር ጫፍ ካንሰር የግንዛቤ ማስጨበጫ ወር ነው! 💙✨

🩺 ቁልፍ ማሳሰቢያዎች፡-

🔹 በመደበኛነት ይመርመሩ፡ የፓፕ ስሚር እና የ HPV ምርመራዎች ቀደም ብሎ ለመለየት አስፈላጊ ናቸው።
🔹 መከተብ፡ የ HPV ክትባት የማኅፀን በር ካንሰርን ለመከላከል ወሳኝ ነው።
🔹 ምልክቶቹን ይወቁ፡- ያልተለመደ የደም መፍሰስ፣ በግንኙነት ወቅት ህመም፣ መጥፎ ጠረን ያለው ፈሳሽ…ወዘተ

💡 የማህፀን በር ጫፍ ካንሰር ቶሎ ከተገኘ ሊከላከሉት ከሚችሉ እና ሊታከሙ ከሚችሉ ካንሰሮች አንዱ ነው። 

🛡 የማህፀን በር ካንሰርን በመከላከል እና ቀድሞ በማከም በሽታውን መቀነስ ይቻላል::

✍️ ስለ የማህፀን በር ካንሰርን የበለጠ ለማንበብ የሚከተለውን ማስፈንጠሪያ ይጫኑ: እዚህ ይጫኑ",2025-01-22 09:50:46+00:00,photos_Yetenaweg/@Yetenaweg_1245.jpg
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1244,,2025-01-07 03:35:34+00:00,
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1243,"🌍🤔 ርእደ መሬት ቢከሰት ምን ማድረግ እንዳለብዎት ያውቃሉ? 

⚠️ርእደ መሬት ያለምንም ማስጠንቀቂያ  ሊከሰት ይችላል፣ ይህም በህይወት እና ንብረት ላይ ከፍተኛ ጉዳት ያስከትላል። 

✅ዝግጁ መሆን  ደህንነትን ለመጠበቅ የመጀመሪያው እርምጃ ነው—እራስዎን ይጠብቁ ፣ የአደጋ ጊዜ እቅድ ይኑርዎት፣ ርእደ መሬት በሚከሰትበት ጊዜ እና በኋላ ምን ማድረግ እንዳለቦት ይወቁ:-


👉 ባሉበት ዝቅ ይበሉ፣ በእጆችዎ  እና ጉልበቶችዎ ይሂዱ። ይህ አካሄድ በሚወድቁ ነገሮች እና ፍርስራሾች ከመመታት እና መውደቅ ይከላከላል፣ ወደ ደህንነት ሳይጎዱ እንዲሄዱ ያስችላል🚨 ።

👉 ጭንቅላትዎን እና አንገትዎን በእጅዎ ይሸፍኑ ፣ ጠንካራ ጠረጴዛ በአቅራቢያ ካለ ከሱ ስር ለጥበቃ በመግባት ይጠለሉ 🛡።

👉 ምንም መጠለያ ከሌለ፣ ከመስኮቶች ይራቁ፣ ወደ የቤቱ/ህንጻ ውስጠኛው ግድግዳ ይሂዱ እና እራስዎን ከሚወድቁ ነገሮች ወይም ፍርስራሾች ለመከላከል ጎንበስ ይበሉ 🛡።

❗️በጠረጴዛ  ስር ከተጠለሉ በመንቀጥቀጡ ጊዜ ሊንቀሳቀስ ስለሚችሉ አጥብቀው ይያዙት።
❗️ጭንቅላትዎን እና አንገትዎን በእጅዎ ይሸፍኑ ፣ መጠለያ ከሌለ መንቀጥቀጡ እስኪቆም ድረስ በሁለቱም እጆችዎ ጭንቅላትዎን እና አንገትዎን በመሸፈን እራስዎን ይጠብቁ።

🌍📱በመሬት መንቀጥቀጥ ወቅት የእርስዎንም ሆነ የቤተሰብዎን ደህንነት ለመጠበቅ  ወቅታዊ የሆኑ ማንቂያዎችን፣ መመሪያዎችን ለማግኘት ይህን መተግበሪያ ይጠቀሙ:-

👉IOS: እዚህ ይጫኑ 
👉Android: እዚህ ይጫኑ 
👉Huawei App Gallery: እዚህ ይጫኑ",2025-01-07 03:35:26+00:00,photos_Yetenaweg/@Yetenaweg_1243.jpg
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1242,"🎙✨ የጤና ወግ ቪዲዮ ፖድካስት ✨🎙

🤝ከ EngenderHealth እና ከSaint Paul Institute for Reproductive Health and Rights (SPIRHR) ጋር በመተባበር:

                            👨‍👩‍👧‍👦የቤተሰብ ምጣኔ👨‍👩‍👧‍👦

🌟 ውይይቱ ውስጥ የተካተቱት ርዕሶች፡-

🤔 የቤተሰብ ምጣኔ ማለት ምን ማለት ነው።
💊🤱 የተለያዩ አይነት የእርግዝና መከላከያ ዘዴዎች እና አጠቃቀማቸው
⚖️ ጥቅሞቻቸው፣ ጉዳቶቻቸው እና ውጤታማነታቸው
💡💑 ለፍላጎትዎ ትክክለኛውን የእርግዝና መከላከያ ዘዴ መምረጥ
💬 እና ሌሎች ተጨማሪ የመወያያ ነጥቦች 

👉ውይይቱን ለመመልከት እዚህ ይጫኑ 

🌟የዩቲዩብ ቻናላችንን ሰብስክራይብ በማድረግ በቀጣይ አዲስ ፖድካስቶች፣ በጤና እና ደህንነት ጉዳዮች ላይ ከባለሙያ ጋር ያደረኛቸው ውይይቶችን ማግኘት ይችላሉ። 🎙

📹 YouTube: https://www.youtube.com/c/YeTenaWeg?sub_confirmation=1

📱 አዳዲስ መረጃዎችን ለማግኘት በማህበራዊ ሚዲያዎቻችን ላይ ይከተሉን:

📸 Instagram: https://instagram.com/yetena_weg?r=nametag
🐦 Twitter: https://twitter.com/yetenaw?s=21&t=NyVsmz_NUwSnHTOXIw8vZw
📘 Facebook: https://www.facebook.com/YeTenaw
📹 YouTube: https://www.youtube.com/c/YeTenaWeg?sub_confirmation=1
🌐 Website: https://yetenaweg.com/ 
💼 LinkedIn: https://www.linkedin.com/company/yetena-weg/",2024-12-16 07:08:46+00:00,
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1241,"🎙✨ የጤና ወግ ቪዲዮ ፖድካስት ✨🎙

በ EngenderHealth እና Saint Paul Institute for Reproductive Health and Rights (SPIRHR) ጋር በመተባበር:
       
🧒➡️🧑ጉርምስና🔄 

🌟 የተካተቱት ርዕሶች:

🔹 በጉርምስና ወቅት ምን ለውጦች ይከሰታሉ?
🔹 👨‍👩‍👧‍👦 ወላጆች ስለ-ስነ ተዋልዶ ጤንነት ከልጆቻቸው ጋር መቼ መወያየት አለባቸው?
🔹 🧑‍⚕️ ወጣቶች በመረጃ ላይ የተመሰረተ ምርጫ ማድረግ የሚችሉት እንዴት ነው?
💬 እና ሌሎች ተጨማሪ ውይይቶች!

👉ውይይቱን ለመመልከት እዚህ ይጫኑ 

🌟የዩቲዩብ ቻናላችንን ሰብስክራይብ በማድረግ በቀጣይ አዲስ ፖድካስቶች፣ በጤና እና ደህንነት ጉዳዮች ላይ ከባለሙያ ጋር ያደረኛቸው ውይይቶችን ማግኘት ይችላሉ። 🎙

📹 YouTube: https://www.youtube.com/c/YeTenaWeg?sub_confirmation=1

📱 አዳዲስ መረጃዎችን ለማግኘት በማህበራዊ ሚዲያዎቻችን ላይ ይከተሉን:

📸 Instagram: https://instagram.com/yetena_weg?r=nametag
🐦 Twitter: https://twitter.com/yetenaw?s=21&t=NyVsmz_NUwSnHTOXIw8vZw
📘 Facebook: https://www.facebook.com/YeTenaw
📹 YouTube: https://www.youtube.com/c/YeTenaWeg?sub_confirmation=1
🌐 Website: https://yetenaweg.com/ 
💼 LinkedIn: https://www.linkedin.com/company/yetena-weg/",2024-12-13 06:49:28+00:00,
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1240,"🎙✨ የጤና ወግ ቪዲዮ ፖድካስት ✨🎙

🤝ከ EngenderHealth እና ከSaint Paul Institute for Reproductive Health and Rights (SPIRHR) ጋር በመተባበር:

                     🤰🏾 የድህረ ወሊድ ጤና 🤱🏾

🧍🏽‍♀️ ከወሊድ በኋላ የሚከሰቱ ቁልፍ ውስጣዊ እና ውጪያዊ አካላዊ ለውጦች
❗️ከወሊድ በኋላ ሊመጡ የሚችሉ  ችግሮች ምልክቶች
💊 የእርግዝና መከላከያ አማራጮች
🍎 አመጋገብ እና የአመጋገብ ስርአት
🏃‍♀️ የአካል ብቃት እንቅስቃሴ

👉ውይይቱን ለመመልከት እዚህ ይጫኑ 

🌟የዩቲዩብ ቻናላችንን ሰብስክራይብ በማድረግ በቀጣይ አዲስ ፖድካስቶች፣ በጤና እና ደህንነት ጉዳዮች ላይ ከባለሙያ ጋር ያደረኛቸው ውይይቶችን ማግኘት ይችላሉ። 🎙

📹 YouTube: https://www.youtube.com/c/YeTenaWeg?sub_confirmation=1

📱 አዳዲስ መረጃዎችን ለማግኘት በማህበራዊ ሚዲያ መለያዎቻን  ይከተሉን:

📸 Instagram: https://instagram.com/yetena_weg?r=nametag
🐦 X(Twitter): https://twitter.com/yetenaw?s=21&t=NyVsmz_NUwSnHTOXIw8vZw
📘 Facebook: https://www.facebook.com/YeTenaw
🌐 Website: https://yetenaweg.com/",2024-12-12 03:02:57+00:00,
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1239,"የኩላሊት ለጋሽ መሆን፦ ማወቅ ያለብን ነገሮች።

በኢትዮጵያ የኩላሊት ህመም  ከፍተኛ የጤና ተግዳሮት ሲሆን ብዙ ግለሰቦችን ያጠቃል። በተጨማሪም የጤና ስርዓቱ ላይ ከባድ ሸክም እየፈጠረ ነው። በመጨረሻ ደረጃ የኩላሊት በሽታ ለሚሰቃዩ የኩላሊት ንቅለ-ተከላ  በጣም ውጤታማ የሕክምና አማራጭ ነው። የኩላሊት እጥበት የኩላሊትን ተግባራት በመፈጸም ህይወትን ማቆየት ቢችልም እንደኩላሊት ንቅለ ተከላ ጥሩ ኑሮ ወይም ረጅም የህይወት ዘመን አይሰጥም። የኩላሊት እጥበት  ብዙ ጊዜ ሆስፒታል መመላለስን ስለሚስከስት ለታካሚዎች አካላዊ እና ስሜታዊ ጉዳት ያመጣል። በአንፃሩ የተሳካ የኩላሊት ንቅለ ተከላ የኩላሊት መደበኛ ስራን ወደነበረበት እንዲመለስ በማድረግ ታካሚዎች ጤናማ እና ጥሩ ህይወት እንዲመሩ ያስችላቸዋል።
በህይወት እያሉ ኩላሊት መለገስ የተቀባዩን ህይወት በእጅጉ ከማሻሻል በተጨማሪ ህይወቱን ያድኑታል ። ይህ ጽሁፍ የኩላሊት ለጋሽ የመሆን ሂደትን ከመጀመሪያ ምርመራ ጀምሮ እስከ ድህረ ልገሳ ድረስ ለማብራራት ያለመ ነው። ይህንን  በማቅረብ፣ ብዙ ግለሰቦች በህይወት እያሉ የኩላሊት ለጋሾች በመሆን ሊያመጡ የሚችሉትን ከፍተኛ ተጽዕኖ እንዲያስቡ ያበረታታል

Robel Habtamu Ababiya M.D, General Practitioner, Lecturer

https://yetenaweg.com/%e1%8b%a8%e1%8a%a9%e1%88%8b%e1%88%8a%e1%89%b5-%e1%88%88%e1%8c%8b%e1%88%bd-%e1%88%98%e1%88%86%e1%8a%95%e1%8d%a6-%e1%88%9b%e1%8b%88%e1%89%85-%e1%8b%ab%e1%88%88%e1%89%a5%e1%8a%95-%e1%8a%90%e1%8c%88/",2024-12-11 15:11:40+00:00,
የጤና ወግ - የጤና መረጃ,@Yetenaweg,1238,,2024-12-10 09:39:25+00:00,photos_Yetenaweg/@Yetenaweg_1238.jpg
